Image,IOULG,IOULD,IOUDG,threshold_DT,threshold_GC,prediction,models
1.png,0.00063628410085103,7.953551260637875e-05,0.0,0.9,0.9,hair_slide,Vgg
1.png,0.0,7.953551260637875e-05,0.0,0.9,1,hair_slide,Vgg
1.png,0.873125,7.953551260637875e-05,0.0,1,0,hair_slide,Vgg
1.png,0.5846748681898066,7.953551260637875e-05,0.0,1,0.1,hair_slide,Vgg
1.png,0.37188464724041864,7.953551260637875e-05,0.0,1,0.2,hair_slide,Vgg
1.png,0.237017099430019,7.953551260637875e-05,0.0,1,0.3,hair_slide,Vgg
1.png,0.15127654497733237,7.953551260637875e-05,0.0,1,0.4,hair_slide,Vgg
1.png,0.09369283385031417,7.953551260637875e-05,0.0,1,0.5,hair_slide,Vgg
1.png,0.04708502346297622,7.953551260637875e-05,0.0,1,0.6,hair_slide,Vgg
1.png,0.021395052891115884,7.953551260637875e-05,0.0,1,0.7,hair_slide,Vgg
1.png,0.009385190487552693,7.953551260637875e-05,0.0,1,0.8,hair_slide,Vgg
1.png,0.00063628410085103,7.953551260637875e-05,0.0,1,0.9,hair_slide,Vgg
1.png,0.0,7.953551260637875e-05,0.0,1,1,hair_slide,Vgg
2.png,0.06040533333333333,0.06040533333333333,1.0,0,0,jackfruit,Vgg
2.png,0.11515861694178385,0.06040533333333333,0.289808,0,0.1,jackfruit,Vgg
2.png,0.15527821421160287,0.06040533333333333,0.14744,0,0.2,jackfruit,Vgg
2.png,0.19971514480139263,0.06040533333333333,0.10132266666666667,0,0.3,jackfruit,Vgg
2.png,0.25245160959079943,0.06040533333333333,0.069696,0,0.4,jackfruit,Vgg
2.png,0.318744319373558,0.06040533333333333,0.040192,0,0.5,jackfruit,Vgg
2.png,0.29759767461742326,0.06040533333333333,0.020544,0,0.6,jackfruit,Vgg
2.png,0.20459547495378114,0.06040533333333333,0.012570666666666667,0,0.7,jackfruit,Vgg
2.png,0.11071870033551122,0.06040533333333333,0.006688,0,0.8,jackfruit,Vgg
2.png,0.0407911001236094,0.06040533333333333,0.002464,0,0.9,jackfruit,Vgg
2.png,0.0,0.06040533333333333,0.0,0,1,jackfruit,Vgg
2.png,0.06040533333333333,0.13068048033906288,0.018666666666666668,0.1,0,jackfruit,Vgg
2.png,0.11515861694178385,0.13068048033906288,0.021490601297130922,0.1,0.1,jackfruit,Vgg
2.png,0.15527821421160287,0.13068048033906288,0.010730381286215037,0.1,0.2,jackfruit,Vgg
2.png,0.19971514480139263,0.13068048033906288,0.006119510439164867,0.1,0.3,jackfruit,Vgg
2.png,0.25245160959079943,0.13068048033906288,0.004591502077108083,0.1,0.4,jackfruit,Vgg
2.png,0.318744319373558,0.13068048033906288,0.0,0.1,0.5,jackfruit,Vgg
2.png,0.29759767461742326,0.13068048033906288,0.0,0.1,0.6,jackfruit,Vgg
2.png,0.20459547495378114,0.13068048033906288,0.0,0.1,0.7,jackfruit,Vgg
2.png,0.11071870033551122,0.13068048033906288,0.0,0.1,0.8,jackfruit,Vgg
2.png,0.0407911001236094,0.13068048033906288,0.0,0.1,0.9,jackfruit,Vgg
2.png,0.0,0.13068048033906288,0.0,0.1,1,jackfruit,Vgg
2.png,0.06040533333333333,0.03918360316913538,0.005333333333333333,0.2,0,jackfruit,Vgg
2.png,0.11515861694178385,0.03918360316913538,0.008519799793905491,0.2,0.1,jackfruit,Vgg
2.png,0.15527821421160287,0.03918360316913538,0.0027843066353281506,0.2,0.2,jackfruit,Vgg
2.png,0.19971514480139263,0.03918360316913538,0.0031509295242096416,0.2,0.3,jackfruit,Vgg
2.png,0.25245160959079943,0.03918360316913538,0.0031965903036760787,0.2,0.4,jackfruit,Vgg
2.png,0.318744319373558,0.03918360316913538,0.0,0.2,0.5,jackfruit,Vgg
2.png,0.29759767461742326,0.03918360316913538,0.0,0.2,0.6,jackfruit,Vgg
2.png,0.20459547495378114,0.03918360316913538,0.0,0.2,0.7,jackfruit,Vgg
2.png,0.11071870033551122,0.03918360316913538,0.0,0.2,0.8,jackfruit,Vgg
2.png,0.0407911001236094,0.03918360316913538,0.0,0.2,0.9,jackfruit,Vgg
2.png,0.0,0.03918360316913538,0.0,0.2,1,jackfruit,Vgg
2.png,0.06040533333333333,0.012157788856817984,0.0,0.3,0,jackfruit,Vgg
2.png,0.11515861694178385,0.012157788856817984,0.0,0.3,0.1,jackfruit,Vgg
2.png,0.15527821421160287,0.012157788856817984,0.0,0.3,0.2,jackfruit,Vgg
2.png,0.19971514480139263,0.012157788856817984,0.0,0.3,0.3,jackfruit,Vgg
2.png,0.25245160959079943,0.012157788856817984,0.0,0.3,0.4,jackfruit,Vgg
2.png,0.318744319373558,0.012157788856817984,0.0,0.3,0.5,jackfruit,Vgg
2.png,0.29759767461742326,0.012157788856817984,0.0,0.3,0.6,jackfruit,Vgg
2.png,0.20459547495378114,0.012157788856817984,0.0,0.3,0.7,jackfruit,Vgg
2.png,0.11071870033551122,0.012157788856817984,0.0,0.3,0.8,jackfruit,Vgg
2.png,0.0407911001236094,0.012157788856817984,0.0,0.3,0.9,jackfruit,Vgg
2.png,0.0,0.012157788856817984,0.0,0.3,1,jackfruit,Vgg
2.png,0.06040533333333333,0.0030837004405286344,0.0,0.4,0,jackfruit,Vgg
2.png,0.11515861694178385,0.0030837004405286344,0.0,0.4,0.1,jackfruit,Vgg
2.png,0.15527821421160287,0.0030837004405286344,0.0,0.4,0.2,jackfruit,Vgg
2.png,0.19971514480139263,0.0030837004405286344,0.0,0.4,0.3,jackfruit,Vgg
2.png,0.25245160959079943,0.0030837004405286344,0.0,0.4,0.4,jackfruit,Vgg
2.png,0.318744319373558,0.0030837004405286344,0.0,0.4,0.5,jackfruit,Vgg
2.png,0.29759767461742326,0.0030837004405286344,0.0,0.4,0.6,jackfruit,Vgg
2.png,0.20459547495378114,0.0030837004405286344,0.0,0.4,0.7,jackfruit,Vgg
2.png,0.11071870033551122,0.0030837004405286344,0.0,0.4,0.8,jackfruit,Vgg
2.png,0.0407911001236094,0.0030837004405286344,0.0,0.4,0.9,jackfruit,Vgg
2.png,0.0,0.0030837004405286344,0.0,0.4,1,jackfruit,Vgg
